Flower,23-L1,23-V1,23-V1M,23-V1R,23-V2,23-V3,23-V4,L5481,L5482,L5483,L5484,S5485,V5477
Hot Pink 50 cm Roses,14,0,30,0,0,0,0,26,17,0,0,0,0
Hot Pink Alstroemeria stems,13,0,0,0,0,0,0,0,0,0,0,0,0
Hot Pink Gerbera Daisies,0,0,0,0,0,0,0,0,0,0,0,10,0
Hot Pink Mini Carnation stems,0,0,0,0,0,0,0,0,16,0,0,0,0
Hot Pink Standard Carnations,8,0,0,0,0,0,0,16,0,0,0,0,0
Lavender Standard Carnations,0,0,0,0,0,0,11,11,0,0,0,0,0
Lavender Stock stems,0,0,0,0,0,0,10,0,0,0,0,10,0
Orange 50 cm Roses,0,0,30,0,0,0,0,0,0,0,0,0,0
Pale Pink Button Pompon stems,12,0,0,0,0,0,0,0,0,0,0,0,0
Pale Pink Mini Carnation stems,0,0,0,0,0,0,0,0,12,0,0,0,0
Pale Pink Standard Carnations,0,0,0,0,11,0,0,0,16,0,0,11,0
Pink 50 cm Roses,11,0,0,0,0,0,0,0,0,0,0,0,0
Pink LA Hybrid Lily stems,0,0,0,0,9,7,0,0,7,0,0,0,0
Pink Snapdragon stems,13,0,0,0,0,0,0,0,0,0,0,0,0
Pink Standard Carnations,0,0,0,0,0,0,0,10,0,0,0,0,0
Pink Stock stems,0,0,0,0,0,0,0,0,13,0,0,0,0
Purple Alstroemeria stems,0,0,0,0,13,0,0,0,0,0,0,0,0
Purple Desna Mums,0,0,0,0,0,0,10,0,0,0,0,0,0
Purple Mini Carnation stems,0,0,0,0,0,0,11,0,0,0,0,0,0
Purple Scabiosa stems,0,11,0,0,0,0,0,0,0,0,0,0,0
Purple Snapdragon stems,0,10,0,0,0,0,0,0,0,0,0,0,0
Red 50 cm Roses,0,19,30,90,19,22,24,0,0,16,0,24,23
Red Alstroemeria stems,0,0,0,0,0,0,0,0,0,0,11,0,13
Red Gerbera Daisies,0,0,0,0,0,0,0,0,0,6,0,0,0
Red LA Hybrid Lily stems,0,7,0,0,0,0,0,0,0,9,9,0,0
Red Matsumoto Aster stems,0,0,0,0,8,0,0,0,0,0,0,0,0
Red Mini Carnation stems,0,0,0,0,8,12,0,0,0,0,0,11,14
Red Standard Carnations,0,0,0,0,0,0,0,0,0,0,10,0,15
Red Sweet William Dianthus,0,10,0,0,0,0,0,0,0,0,0,0,0
White 50 cm Roses,0,0,0,0,0,0,0,0,0,0,15,0,0
White Cushion Pompon stems,0,0,0,0,0,0,0,0,0,0,12,0,0
White Snapdragon stems,0,0,0,0,0,0,0,0,0,0,13,0,0
White Stock stems,0,8,0,0,0,13,0,0,0,0,0,0,0
