Unnamed: 0,Unnamed: 1,Unnamed: 2
EDAY 2023 PRICING,,
,,NEW 2023
,Alstroemeria stems,0.62
,Asiatic Lily stems,1.47
,Button Pompon stems,0.63
,Cushion Pompon stems,0.63
,Daisy Pompon stems,0.63
,Double Lisianthus stems,1.28
,"Delphinium stems, Belladonna",1.06
,"Delphinium stems, hybrid",1.26
,Disbud Stem,0.84
,Gerbera Daisies,1.14
Blue,Hydrangea blooms,2.3
Green,Mini Hydrangea blooms,1.69
White,Hydrangea blooms,2.14
,Hypericum Berry stems,0.77
,Iris stems,1.13
,LA Hybrid Lily stems,1.47
,Limonium Blue stream,0.84
,Limonium Misty Blue,0.84
,Matsumoto Aster stems,0.79
,Mini Calla Lilies,1.65
,Mini Carnation stems,0.51
,Monte Casino stems,0.66
White,Queen Anne's Lace,1.29
,Ranunculus,1.64
Orange,50 cm Roses,0.96
Yellow,50 cm Roses,0.96
Peach,50 cm Roses,0.96
Pink,50 cm Roses,0.96
Lavender,50 cm Roses,0.96
White,50 cm Roses,0.96
Red,50 cm Roses,0.87
,Snapdragon stems,0.92
,Solidago stems,0.63
,Spider Mums,0.84
,Spray Rose stems,0.9
,Standard Carnations,0.53
,Star of Bethlehem stems,0.85
,Statice stems,0.59
,Stock stems,0.85
,Sweet William,0.77
,Eryngium thistle stems,1.4
Green,Trick Dianthus stems,0.94
,Waxflower stems,1.41
,Sunflowers,1.12
,Baby Blue Eucalyptus stems,0.99
,Dusty Miller Stems,0.98
,Gunni Eucalyptus stems,1.09
,Silver dollar Eucalyptus stems,2.1
,Green Pittosporum stems,0.67
,Israeli Ruscus stems,0.35
,Italian Variegated Pittosporum stems,0.82
,Salal tips,0.26
,Seeded Eucalyptus stems,2.1
,Variegated Pittosporum stems,0.69
,Echevaria Succulent,3.5
,Bupleurum Stems,0.82
