Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Item Number,Item Description,PTM,Shipping Revenue,Total Delivered PTM,Product Cost as of 5/31/23,Freight Out (Estimate),Total Cost,,GM
2201,CINCHED VASE-BURGANDY         ,72,18,90,50.5932,13.332975,63.926175,,26.073825
2107,VASE-CRESCENT MOON C2         ,83.88,20.97,104.85,73.662,10.065425000000001,83.72742500000001,,21.122574999999983
685,"COMFORT PLANTER 6""            ",105.2,26.3,131.5,61.8156,15.14955,76.96515000000001,,54.53484999999999
1460,VASE-WHT W/CROSS              ,86.35,21.5875,107.9375,52.2636,10.910875,63.174475,,44.763025
1665,VASE-STRIPED BIRTHDAY         ,85.08,21.27,106.35,28.638,13.4358,42.073800000000006,,64.27619999999999
2120BB,WOOD BOX-BRWN/RECTNGLR        ,134.88,0,134.88,60.91339975399754,10.6024,71.51579975399754,,63.364200246002454
2120GL,VASE-CLR GLD DIPPD (LG)       ,64.94,0,64.94,24.6,10.910875,35.510875,,29.429125
2120GS,VASE-CLR GLD DIPPD (SM)       ,82.84,0,82.84,31.2,10.910875,42.110875,,40.729125
2120L,VASE-CINCHED/CLEAR (LG)       ,71.26,0,71.26,30,13.66,43.66,,27.60000000000001
2120S,VASE-CINCHED/CLEAR (SM)       ,61.43,0,61.43,38.538,13.332975,51.870974999999994,,9.559025000000005
2120WB,WOOD BOX-WHT/RECTNGLR         ,88.88,0,88.88,57.9732,9.8255,67.7987,,21.0813
2221,PUMPKIN,80,20,100,53.4852,11.94,65.4252,,34.574799999999996
2321,White Pumpkin,80,20,100,27.6,11.939124999999999,39.539125,,60.460875
2223,Pumpkin O& W Combo,89,22.25,111.25,40.5426,11.939124999999999,52.481725,,58.768275
2105,LANTRN VASE-GOLD HLLW TREE C3 ,119.88,29.97,149.85,86.18,12.43,98.61000000000001,,51.23999999999998
2106,SLEIGH  REINDEER C4           ,107.88,26.97,134.85,53.61,14.58,68.19,,66.66
2231,VASE-WHITE ORNAMENT,107.88,26.97,134.85,55.645,12.0191,67.6641,,67.18589999999999
2232,WOOD BOX-FALALA,127.322,31.8305,159.1525,51.74,10.431025000000002,62.171025,,96.981475
2233,VASE-SANTA GNOME,107.88,26.97,134.85,48.325,11.94,60.265,,74.585
2370,GINGERBREAD HOUSE W/PICK,99.99,24.9975,124.9875,53.64,10.431025000000002,64.071025,,60.91647499999999
2304,Let's Celebrate Ceramic Vase,43.72,10.93,54.65,32.28,10.07,42.35,,12.299999999999997
2302,Dove Ceramic Vase,46.1,11.525,57.625,31.08,10.91,41.989999999999995,,15.635000000000005
,,,,,,,,,
,,,,,,,,,
2109,RIBBON-PLAID W/RED GRN BLK    ,28.25,0,28.25,20.05,9.037175,29.087175000000002,,-0.837175000000002
2110,"TAPER CANDLE-RED 15""          ",85.5,0,85.5,76.85,14.566875,91.41687499999999,,-5.91687499999999
2062,WOOD BOX-DARLING BABY COMBO   ,27.4,0,27.4,35.8488,9.04,44.888799999999996,,-17.488799999999998
,,,,,,,,,
Clear Glass,,,,,,,,,
Cube,,,,,,,,,
Ribbon,,,,,,,,,
Foam,,,,,,,,,
Basket,,,,,,,,,
Raffia,,,,,,,,,
Smiley Mug,,,,,,,,,
2120GS - Small Gold-Dipped Vase,,,,,,,,,
2233 - Santa Gnome  w 25% shipping,,,,,,,,,
Pinecone Pics,,,,,,,,,
Floral Foam blocks,,,,,,,,,
2105 - Hollow Tree Lantern w 25% shipping,,,,,,,,,
2106 - Reindeer Sleigh w 25% shipping,,,,,,,,,
2231 - Ceramic Ornament w 25% shipping,,,,,,,,,
Red & Green Plaid #40 Ribbon (yds),,,,,,,,,
2232 - Wooden Fa-La-La Box w 25% shipping,,,,,,,,,
2370 - Gingerbread House w 25% shipping,,,,,,,,,
Red 12'' Taper Candles,,,,,,,,,
45-38054 - Pine Centerpiece Tray,,,,,,,,,
Blue Glass Vase,,,,,,,,,
Clear Glass Vase,,,,,,,,,
Red Glass Vase,,,,,,,,,
Pink Glass Vase,,,,,,,,,
2120S - Small Cinched Glass Vase,,,,,,,,,
2120L - Large Cinched Glass Vase,,,,,,,,,
Pink Disco Ball Container w 25% shipping,,,,,,,,,
Red Disco Ball Container w 25% shipping,,,,,,,,,
Glass Heart Container w 25% shipping,,,,,,,,,
2120GL - Large Gold-Dipped Vase,,,,,,,,,
